Coefficients:
a = 258.00
b = 0.0006
c = 0.14
d = 197.00
e = 3431.00

Maximum Profit Analysis:
---------------------------
Optimal Quantity	: 283.74
Maximum Profit		: 41433.63

Total Profit (Simpson's Rule):
---------------------------
From x=0.00 to x=500.00	: 12422127.33

Data Points:
Quantity   Revenue      Cost         Profit      
------------------------------------------------
0.00       0.00         3628.00      -3628.00    
20.00      5155.20      3727.62      1427.58     
40.00      10281.60     3948.89      6332.71     
60.00      15350.40     4293.96      11056.44    
80.00      20332.80     4765.43      15567.37    
100.00     25200.00     5366.50      19833.50    
120.00     29923.20     6101.06      23822.14    
140.00     34473.60     6973.87      27499.73    
160.00     38822.40     7990.75      30831.65    
180.00     42940.80     9158.78      33782.02    
200.00     46800.00     10486.64     36313.36    
220.00     50371.20     11984.93     38386.27    
240.00     53625.60     13666.57     39959.03    
260.00     56534.40     15547.36     40987.04    
280.00     59068.80     17646.60     41422.20    
300.00     61200.00     19987.85     41212.15    
320.00     62899.20     22599.91     40299.29    
340.00     64137.60     25517.93     38619.67    
360.00     64886.40     28784.85     36101.55    
380.00     65116.80     32453.13     32663.67    
400.00     64800.00     36586.84     28213.16    
420.00     63907.20     41264.21     22642.99    
440.00     62409.60     46580.82     15828.78    
460.00     60278.40     52653.41     7624.99     
480.00     57484.80     59624.55     -2139.75    
500.00     54000.00     67668.39     -13668.39   
