# Maximum Profit Analysis:
# ---------------------------
# Optimal Quantity	: 242.71
# Maximum Profit	: 37516.67
# Iterations		: 3
#
# Total Profit (Simpson's Rule):
# ---------------------------
# From x=0.00 to x=500.00	: 8136661.83

# Qty      Revenue      Cost         Profit       Derivative
0.00       0.00         3486.00      -3486.00     274.95      
5.00       1379.88      3495.88      -2116.01     273.02      
10.00      2759.00      3515.04      -756.04      270.94      
15.00      4136.63      3543.49      593.13       268.71      
20.00      5512.00      3581.25      1930.75      266.32      
25.00      6884.38      3628.32      3256.05      263.78      
30.00      8253.00      3684.74      4568.26      261.08      
35.00      9617.13      3750.50      5866.62      258.23      
40.00      10976.00     3825.64      7150.36      255.23      
45.00      12328.88     3910.17      8418.70      252.08      
50.00      13675.00     4004.12      9670.88      248.77      
55.00      15013.63     4107.49      10906.13     245.31      
60.00      16344.00     4220.32      12123.68     241.69      
65.00      17665.38     4342.63      13322.74     237.91      
70.00      18977.00     4474.44      14502.56     233.99      
75.00      20278.13     4615.79      15662.34     229.90      
80.00      21568.00     4766.68      16801.32     225.66      
85.00      22845.88     4927.16      17918.71     221.27      
90.00      24111.00     5097.26      19013.74     216.72      
95.00      25362.63     5277.00      20085.63     212.01      
100.00     26600.00     5466.42      21133.58     207.15      
105.00     27822.38     5665.55      22156.82     202.12      
110.00     29029.00     5874.44      23154.56     196.95      
115.00     30219.13     6093.11      24126.01     191.61      
120.00     31392.00     6321.61      25070.39     186.11      
125.00     32546.88     6559.99      25986.89     180.46      
130.00     33683.00     6808.28      26874.72     174.65      
135.00     34799.63     7066.53      27733.10     168.67      
140.00     35896.00     7334.80      28561.20     162.54      
145.00     36971.38     7613.13      29358.25     156.25      
150.00     38025.00     7901.58      30123.42     149.79      
155.00     39056.13     8200.20      30855.92     143.18      
160.00     40064.00     8509.07      31554.93     136.40      
165.00     41047.88     8828.23      32219.64     129.46      
170.00     42007.00     9157.76      32849.24     122.35      
175.00     42940.63     9497.73      33442.89     115.08      
180.00     43848.00     9848.21      33999.79     107.65      
185.00     44728.38     10209.28     34519.09     100.05      
190.00     45581.00     10581.02     34999.98     92.28       
195.00     46405.13     10963.51     35441.61     84.34       
200.00     47200.00     11356.85     35843.15     76.24       
205.00     47964.88     11761.13     36203.75     67.97       
210.00     48699.00     12176.45     36522.55     59.53       
215.00     49401.63     12602.91     36798.71     50.91       
220.00     50072.00     13040.63     37031.37     42.12       
225.00     50709.38     13489.71     37219.66     33.16       
230.00     51313.00     13950.29     37362.71     24.03       
235.00     51882.13     14422.48     37459.64     14.72       
240.00     52416.00     14906.43     37509.57     5.23        
245.00     52913.88     15402.28     37511.60     -4.44       
250.00     53375.00     15910.16     37464.84     -14.29      
255.00     53798.63     16430.25     37368.38     -24.32      
260.00     54184.00     16962.69     37221.31     -34.54      
265.00     54530.38     17507.67     37022.70     -44.94      
270.00     54837.00     18065.37     36771.63     -55.52      
275.00     55103.13     18635.98     36467.15     -66.30      
280.00     55328.00     19219.69     36108.31     -77.27      
285.00     55510.88     19816.72     35694.16     -88.43      
290.00     55651.00     20427.29     35223.71     -99.78      
295.00     55747.63     21051.63     34696.00     -111.34     
300.00     55800.00     21689.98     34110.02     -123.09     
305.00     55807.38     22342.61     33464.76     -135.05     
310.00     55769.00     23009.78     32759.22     -147.21     
315.00     55684.13     23691.79     31992.34     -159.58     
320.00     55552.00     24388.92     31163.08     -172.16     
325.00     55371.88     25101.49     30270.39     -184.95     
330.00     55143.00     25829.83     29313.17     -197.97     
335.00     54864.63     26574.29     28290.34     -211.20     
340.00     54536.00     27335.23     27200.77     -224.66     
345.00     54156.38     28113.04     26043.33     -238.35     
350.00     53725.00     28908.12     24816.88     -252.27     
355.00     53241.13     29720.90     23520.23     -266.43     
360.00     52704.00     30551.81     22152.19     -280.83     
365.00     52112.88     31401.34     20711.54     -295.47     
370.00     51467.00     32269.97     19197.03     -310.37     
375.00     50765.63     33158.21     17607.41     -325.52     
380.00     50008.00     34066.62     15941.38     -340.94     
385.00     49193.38     34995.77     14197.60     -356.62     
390.00     48321.00     35946.26     12374.74     -372.57     
395.00     47390.13     36918.71     10471.41     -388.81     
400.00     46400.00     37913.81     8486.19      -405.33     
405.00     45349.88     38932.23     6417.64      -422.14     
410.00     44239.00     39974.73     4264.27      -439.26     
415.00     43066.63     41042.07     2024.55      -456.68     
420.00     41832.00     42135.06     -303.06      -474.42     
425.00     40534.38     43254.57     -2720.19     -492.49     
430.00     39173.00     44401.48     -5228.48     -510.88     
435.00     37747.13     45576.74     -7829.61     -529.63     
440.00     36256.00     46781.34     -10525.34    -548.72     
445.00     34698.88     48016.33     -13317.45    -568.18     
450.00     33075.00     49282.80     -16207.80    -588.02     
455.00     31383.63     50581.90     -19198.28    -608.24     
460.00     29624.00     51914.85     -22290.85    -628.86     
465.00     27795.38     53282.92     -25487.55    -649.89     
470.00     25897.00     54687.45     -28790.45    -671.34     
475.00     23928.13     56129.85     -32201.72    -693.24     
480.00     21888.00     57611.59     -35723.59    -715.59     
485.00     19775.88     59134.24     -39358.37    -738.40     
490.00     17591.00     60699.43     -43108.43    -761.70     
495.00     15332.63     62308.87     -46976.25    -785.51     
500.00     13000.00     63964.38     -50964.38    -809.83     
